,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
157,158,1411638504330.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,48.0,0.00026507636037961915,4372.296746395614,0,2233.0
158,159,1411638514775.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,145.0,0.00026507636037961915,3676.9836956519507,0,2253.0
159,160,1411638525895.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,118.0,1.9257507874966477,4431.339803342887,0,2268.0
160,161,1411638536351.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,211.0,6.131575934255842,2762.5847378123535,0,2288.0
161,162,1411638546946.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,11.595830977181675,1562.5004384721608,1,2296.0
162,163,1411638557867.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,211.0,0.00026507636037961915,4030.481357007377,0,2293.0
163,164,1411638568367.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,79.0,0.03985213138291101,3773.144413566091,0,2310.0
164,165,1411638578926.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,9.038578705394544,2240.122585272648,1,2325.0
165,166,1411638589357.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,177.0,5.170797061407226,2630.461434191886,0,2328.0
166,167,1411638599739.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,72.0,0.9140306890910295,4992.653123781956,0,2334.0
167,168,1411638610651.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,65.0,8.472846759160857,1862.582287868072,1,2357.0
168,169,1411638621066.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,368.0,9.150354151582185,1573.7598698779286,1,2357.0
169,170,1411638631574.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,0.00026507636037961915,4653.554491129305,0,2354.0
170,171,1411638642080.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,149.0,1.1786415430891057,3058.5552444894224,0,2375.0
171,172,1411638652904.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,267.0,4.382716632129541,2173.5645343895935,1,2383.0
172,173,1411638663350.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,194.0,10.0657573397779,1743.8147457862397,1,2385.0
173,174,1411638673959.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,211.0,6.833040091785154,2211.657671381795,1,2384.0
174,175,1411638684334.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,59.0,8.493260140209006,2721.5355787220565,0,2386.0
175,176,1411638694656.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,45.0,10.8003625290091,1205.7621222997996,1,2392.0
176,177,1411638705281.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,118.0,5.220454268380993,2394.8945098984354,0,2387.0
177,178,1411638715993.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,236.0,8.867678870899443,1866.53564435077,1,2390.0
178,179,1411638726357.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,156.0,10.751784113900413,2001.278220986562,1,2390.0
179,180,1411638737015.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,38.0,4.180927091593527,3913.392979441898,0,2391.0
180,181,1411638747472.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,79.0,6.237463199634908,2497.4915014696635,0,2405.0
